 2 0.03333333  0.03333333 0.1600000 0.1600000 0.02666667 0.1600000 0.02666667 0.1600000   0.1866667 0.1866667
 3 0.04666667  0.04666667 0.1866667 0.1866667 0.03555556 0.1333333 0.03555556 0.1333333   0.1688889 0.1688889
 4 0.02666667  0.02666667 0.1266667 0.1266667 0.04500000 0.1083333 0.04500000 0.1083333   0.1533333 0.1533333
 5 0.04000000  0.04000000 0.1600000 0.1600000 0.05333333 0.1120000 0.05333333 0.1120000   0.1653333 0.1653333
 6 0.02000000  0.02000000 0.1066667 0.1066667 0.05111111 0.1044444 0.05111111 0.1044444   0.1555556 0.1555556
 7 0.02666667  0.02666667 0.1066667 0.1066667 0.04789116 0.1006803 0.04789116 0.1006803   0.1485714 0.1485714
 8 0.02000000  0.02000000 0.1000000 0.1000000 0.04583333 0.1008333 0.04583333 0.1008333   0.1466667 0.1466667
 9 0.03333333  0.03333333 0.1333333 0.1333333 0.04411523 0.1040329 0.04411523 0.1040329   0.1481481 0.1481481
10 0.02666667  0.02666667 0.1133333 0.1133333 0.04346667 0.1032000 0.04346667 0.1032000   0.1466667 0.1466667
11 0.03333333  0.03333333 0.1333333 0.1333333 0.04231405 0.1031405 0.04231405 0.1031405   0.1454545 0.1454545
12 0.02666667  0.02666667 0.1133333 0.1133333 0.04166667 0.1027778 0.04166667 0.1027778   0.1444444 0.1444444
13 0.02666667  0.02666667 0.1066667 0.1066667 0.04071006 0.1028797 0.04071006 0.1028797   0.1435897 0.1435897
14 0.02666667  0.02666667 0.1066667 0.1066667 0.04027211 0.1006803 0.04027211 0.1006803   0.1409524 0.1409524
15 0.02666667  0.02666667 0.1066667 0.1066667 0.04005926 0.1039407 0.04005926 0.1039407   0.1440000 0.1440000
16 0.02666667  0.02666667 0.1066667 0.1066667 0.03916667 0.1041667 0.03916667 0.1041667   0.1433333 0.1433333
17 0.02666667  0.02666667 0.1066667 0.1066667 0.03912341 0.1051903 0.03912341 0.1051903   0.1443137 0.1443137
18 0.02666667  0.02666667 0.1133333 0.1133333 0.03827160 0.1054321 0.03827160 0.1054321   0.1437037 0.1437037
19 0.03333333  0.03333333 0.1333333 0.1333333 0.03737765 0.1057802 0.03737765 0.1057802   0.1431579 0.1431579
20 0.02666667  0.02666667 0.1133333 0.1133333 0.03706667 0.1069333 0.03706667 0.1069333   0.1440000 0.1440000
21 0.02666667  0.02666667 0.1066667 0.1066667 0.03700680 0.1064853 0.03700680 0.1064853   0.1434921 0.1434921
22 0.02666667  0.02666667 0.1133333 0.1133333 0.03636364 0.1066667 0.03636364 0.1066667   0.1430303 0.1430303
23 0.02666667  0.02666667 0.1066667 0.1066667 0.03841210 0.1041966 0.03841210 0.1041966   0.1426087 0.1426087
24 0.02666667  0.02666667 0.1133333 0.1133333 0.03814815 0.1040741 0.03814815 0.1040741   0.1422222 0.1422222
25 0.02666667  0.02666667 0.1066667 0.1066667 0.03754667 0.1032533 0.03754667 0.1032533   0.1408000 0.1408000
26 0.02666667  0.02666667 0.1066667 0.1066667 0.03783037 0.1026824 0.03783037 0.1026824   0.1405128 0.1405128
27 0.02666667  0.02666667 0.1066667 0.1066667 0.03731139 0.1029355 0.03731139 0.1029355   0.1402469 0.1402469
28 0.02666667  0.02666667 0.1133333 0.1133333 0.03836735 0.1006803 0.03836735 0.1006803   0.1390476 0.1390476
29 0.03333333  0.03333333 0.1333333 0.1333333 0.03779627 0.1010543 0.03779627 0.1010543   0.1388506 0.1388506
