30 30 0 0 0.730693040452846 0.730693040452846 1 1 7.5 7.5 ; 23 41 51
27 26 0.037037037037037 -0.0384615384615385 0.697503884014663 0.67250963299835 0.962962962962963 1.03846153846154 17.1610169491525 16.5254237288136 ; 11 23 31 41
46 45 0.0217391304347826 -0.0222222222222222 0.87406293479704 0.844060774563732 0.978260869565217 1.02222222222222 2.72727272727273 2.66798418972332 ; 33 43
17 17 0 0 0.306539619836745 0.306039432409395 1 1 2.65238194299979 2.65238194299979 ; 21 33 43
16 16 0 0 0.264330478638812 0.264116696453805 1 1 2.42424242424242 2.42424242424242 ; 13 42 52
15 17 -0.133333333333333 0.117647058823529 -0.157949748324146 -0.100721578641485 1.13333333333333 0.882352941176471 0.730994152046784 0.828460038986355 ; 22 42
18 17 0.0555555555555556 -0.0588235294117647 0.313909448441731 0.284485563550129 0.944444444444444 1.05882352941176 2.84210526315789 2.68421052631579 ; 22 31 51
50 50 0 0 1 1 1 1 3 3 ; 41 51
32 29 0.09375 -0.103448275862069 0.44657840569979 0.356663290458221 0.90625 1.10344827586207 1.87134502923977 1.69590643274854 ; 21 32
47 46 0.0212765957446809 -0.0217391304347826 0.791320018671387 0.76236928628097 0.978723404255319 1.02173913043478 2.38983050847458 2.33898305084746 ; 11 41
23 23 0 0 0.299726121052415 0.299726121052415 1 1 1.6812865497076 1.6812865497076 ; 12 21
37 36 0.027027027027027 -0.0277777777777778 0.711202939946268 0.691632841878068 0.972972972972973 1.02777777777778 5.98275242544017 5.82105641394179 ; 13 33 43
21 21 0 0 0.535550484560389 0.514976704565444 1 1 5.83333333333333 5.83333333333333 ; 12 32 52
12 11 0.0833333333333333 -0.0909090909090909 0.228380984099499 0.197617124390379 0.916666666666667 1.09090909090909 2.02020202020202 1.85185185185185 ; 13 32 42
21 20 0.0476190476190476 -0.05 0.625315639127346 0.58954420843637 0.952380952380952 1.05 16.2037037037037 15.4320987654321 ; 12 32 42 52
