 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
52 (50)
53 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (29)
23 41 (30)
23 51 (29)
23 11 (27)
12 32 (20)
12 52 (23)
12 53 (10)
12 42 (23)
12 33 (12)
12 21 (23)
32 52 (43)
32 42 (43)
32 13 (12)
32 22 (13)
32 21 (31)
32 11 (13)
43 53 (45)
43 33 (45)
43 13 (36)
43 22 (24)
43 21 (17)
31 41 (47)
31 51 (48)
31 22 (18)
31 11 (46)
41 51 (47)
41 22 (16)
41 11 (45)
51 22 (19)
51 11 (46)
52 42 (48)
52 13 (16)
52 22 (15)
52 21 (34)
52 11 (11)
53 33 (48)
53 13 (38)
53 22 (24)
53 21 (21)
42 13 (18)
42 22 (15)
42 21 (37)
42 11 (13)
33 13 (41)
33 22 (28)
33 21 (22)
13 22 (28)
13 21 (21)
22 11 (19)
21 11 (13)
23 31 41 (29)
23 31 51 (28)
23 31 11 (26)
23 41 51 (29)
23 41 11 (27)
23 51 11 (26)
12 32 52 (20)
12 32 42 (19)
12 32 21 (14)
12 52 42 (21)
12 52 21 (16)
12 53 33 (10)
12 42 21 (17)
32 52 42 (42)
32 52 13 (12)
32 52 22 (12)
32 52 21 (30)
32 52 11 (11)
32 42 13 (12)
32 42 22 (12)
32 42 21 (30)
32 42 11 (12)
32 21 11 (11)
43 53 33 (44)
43 53 13 (36)
43 53 22 (23)
43 53 21 (17)
43 33 13 (35)
43 33 22 (24)
43 33 21 (16)
43 13 22 (19)
43 13 21 (12)
31 41 51 (46)
31 41 22 (16)
31 41 11 (44)
31 51 22 (18)
31 51 11 (45)
31 22 11 (18)
41 51 22 (16)
41 51 11 (44)
41 22 11 (16)
51 22 11 (18)
52 42 13 (16)
52 42 22 (14)
52 42 21 (33)
52 42 11 (11)
52 21 11 (10)
53 33 13 (37)
53 33 22 (24)
53 33 21 (19)
53 13 22 (20)
53 13 21 (13)
42 21 11 (11)
33 13 22 (22)
33 13 21 (14)
23 31 41 51 (28)
23 31 41 11 (26)
23 31 51 11 (25)
23 41 51 11 (26)
12 32 52 42 (19)
12 32 52 21 (14)
12 32 42 21 (13)
12 52 42 21 (15)
32 52 42 13 (12)
32 52 42 22 (12)
32 52 42 21 (29)
32 52 42 11 (11)
32 52 21 11 (10)
32 42 21 11 (11)
43 53 33 13 (35)
43 53 33 22 (23)
43 53 33 21 (16)
43 53 13 22 (19)
43 53 13 21 (12)
43 33 13 22 (19)
43 33 13 21 (11)
31 41 51 22 (16)
31 41 51 11 (43)
31 41 22 11 (16)
31 51 22 11 (18)
41 51 22 11 (16)
52 42 21 11 (10)
53 33 13 22 (20)
53 33 13 21 (12)
23 31 41 51 11 (25)
12 32 52 42 21 (13)
32 52 42 21 11 (10)
43 53 33 13 22 (19)
43 53 33 13 21 (11)
31 41 51 22 11 (16)
