 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
53 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (24)
23 41 (27)
23 51 (22)
23 11 (22)
12 32 (17)
12 53 (11)
12 52 (21)
12 42 (21)
12 33 (11)
12 22 (10)
12 21 (19)
32 52 (36)
32 42 (38)
32 13 (12)
32 22 (15)
32 21 (27)
32 11 (14)
43 53 (36)
43 33 (39)
43 13 (31)
43 22 (23)
43 21 (17)
31 41 (38)
31 51 (39)
31 22 (17)
31 11 (38)
41 51 (37)
41 22 (14)
41 11 (37)
51 22 (18)
51 11 (39)
53 33 (40)
53 13 (34)
53 22 (23)
53 21 (19)
52 42 (41)
52 13 (12)
52 22 (17)
52 21 (28)
52 11 (18)
42 13 (17)
42 22 (17)
42 21 (33)
42 11 (14)
33 13 (37)
33 22 (26)
33 21 (19)
13 22 (25)
13 21 (20)
22 11 (19)
21 11 (16)
23 31 41 (22)
23 31 51 (19)
23 31 11 (18)
23 41 51 (21)
23 41 11 (21)
23 51 11 (17)
12 32 52 (15)
12 32 42 (15)
12 32 21 (11)
12 52 42 (17)
12 52 21 (11)
12 42 21 (12)
32 52 42 (34)
32 52 22 (10)
32 52 21 (24)
32 52 11 (11)
32 42 13 (11)
32 42 22 (11)
32 42 21 (25)
32 42 11 (10)
32 21 11 (10)
43 53 33 (33)
43 53 13 (27)
43 53 22 (19)
43 53 21 (13)
43 33 13 (28)
43 33 22 (20)
43 33 21 (13)
43 13 22 (16)
43 13 21 (10)
31 41 51 (32)
31 41 22 (11)
31 41 11 (31)
31 51 22 (15)
31 51 11 (33)
31 22 11 (15)
41 51 22 (11)
41 51 11 (31)
41 22 11 (11)
51 22 11 (15)
53 33 13 (29)
53 33 22 (20)
53 33 21 (14)
53 13 22 (16)
53 13 21 (11)
52 42 13 (11)
52 42 22 (14)
52 42 21 (25)
52 42 11 (12)
52 21 11 (11)
42 21 11 (11)
33 13 22 (19)
33 13 21 (11)
23 31 41 51 (18)
23 31 41 11 (17)
23 31 51 11 (14)
23 41 51 11 (16)
12 32 52 42 (13)
32 52 42 22 (10)
32 52 42 21 (22)
32 52 42 11 (10)
32 52 21 11 (10)
43 53 33 13 (24)
43 53 33 22 (18)
43 53 33 21 (10)
43 53 13 22 (14)
43 33 13 22 (15)
31 41 51 22 (10)
31 41 51 11 (26)
31 41 22 11 (10)
31 51 22 11 (14)
41 51 22 11 (10)
53 33 13 22 (15)
52 42 21 11 (10)
23 31 41 51 11 (13)
43 53 33 13 22 (13)
