 (150)
12 (36)
23 (36)
32 (45)
43 (46)
31 (50)
41 (50)
52 (50)
53 (50)
51 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
12 43 (10)
12 41 (12)
12 52 (12)
12 42 (12)
12 33 (10)
12 22 (16)
12 21 (10)
12 11 (11)
23 31 (11)
23 52 (10)
23 53 (13)
23 51 (11)
23 42 (13)
23 13 (10)
23 21 (13)
23 11 (17)
32 31 (13)
32 41 (13)
32 52 (14)
32 53 (15)
32 51 (10)
32 42 (18)
32 33 (18)
32 13 (10)
32 22 (13)
32 21 (15)
32 11 (16)
43 31 (14)
43 41 (11)
43 52 (11)
43 53 (16)
43 51 (14)
43 42 (15)
43 33 (13)
43 13 (18)
43 22 (17)
43 21 (12)
43 11 (19)
31 41 (16)
31 52 (10)
31 53 (14)
31 51 (12)
31 33 (21)
31 13 (18)
31 22 (20)
31 21 (13)
31 11 (20)
41 52 (19)
41 53 (12)
41 51 (14)
41 42 (16)
41 33 (17)
41 13 (18)
41 22 (17)
41 21 (13)
41 11 (13)
52 53 (15)
52 51 (14)
52 42 (18)
52 33 (14)
52 13 (13)
52 22 (17)
52 21 (17)
52 11 (16)
53 51 (15)
53 33 (18)
53 13 (14)
53 22 (16)
53 21 (19)
53 11 (18)
51 42 (18)
51 33 (18)
51 13 (17)
51 22 (14)
51 21 (20)
51 11 (16)
42 33 (14)
42 13 (23)
42 22 (16)
42 21 (21)
42 11 (16)
33 13 (18)
33 22 (17)
33 21 (17)
33 11 (20)
13 22 (18)
13 21 (18)
13 11 (16)
22 21 (21)
22 11 (19)
21 11 (19)
