 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
52 (50)
53 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 12 (4)
23 32 (5)
23 43 (4)
23 31 (23)
23 41 (28)
23 51 (23)
23 52 (7)
23 53 (6)
23 42 (4)
23 13 (4)
23 33 (6)
23 22 (4)
23 21 (4)
23 11 (22)
12 32 (16)
12 43 (10)
12 31 (8)
12 41 (6)
12 51 (4)
12 52 (19)
12 53 (10)
12 42 (18)
12 13 (3)
12 33 (12)
12 22 (11)
12 21 (18)
12 11 (5)
32 43 (4)
32 31 (5)
32 41 (4)
32 51 (7)
32 52 (34)
32 53 (1)
32 42 (35)
32 13 (12)
32 33 (3)
32 22 (14)
32 21 (25)
32 11 (15)
43 31 (5)
43 41 (2)
43 51 (1)
43 52 (4)
43 53 (35)
43 42 (3)
43 13 (33)
43 33 (37)
43 22 (23)
43 21 (20)
43 11 (3)
31 41 (36)
31 51 (34)
31 52 (8)
31 53 (5)
31 42 (5)
31 13 (8)
31 33 (9)
31 22 (16)
31 21 (6)
31 11 (32)
41 51 (39)
41 52 (6)
41 53 (8)
41 42 (5)
41 13 (1)
41 33 (8)
41 22 (15)
41 21 (7)
41 11 (35)
51 52 (4)
51 53 (8)
51 42 (6)
51 13 (6)
51 33 (5)
51 22 (16)
51 21 (12)
51 11 (35)
52 53 (3)
52 42 (38)
52 13 (16)
52 33 (5)
52 22 (16)
52 21 (25)
52 11 (15)
53 42 (8)
53 13 (32)
53 33 (37)
53 22 (21)
53 21 (19)
53 11 (7)
42 13 (17)
42 33 (11)
42 22 (17)
42 21 (29)
42 11 (20)
13 33 (35)
13 22 (29)
13 21 (20)
13 11 (4)
33 22 (25)
33 21 (22)
33 11 (5)
22 21 (2)
22 11 (19)
21 11 (19)
23 12 32 (1)
23 12 31 (2)
23 12 41 (2)
23 12 51 (2)
23 12 52 (1)
23 12 42 (1)
23 12 22 (1)
23 12 11 (2)
23 32 43 (1)
23 32 31 (2)
23 32 41 (2)
23 32 51 (2)
23 32 52 (1)
23 32 42 (1)
23 32 13 (1)
23 32 22 (2)
23 32 21 (1)
23 32 11 (1)
23 43 53 (3)
23 43 13 (4)
23 43 33 (2)
23 43 22 (2)
23 31 41 (22)
23 31 51 (18)
23 31 52 (5)
23 31 53 (1)
23 31 42 (1)
23 31 33 (1)
23 31 22 (1)
23 31 21 (1)
23 31 11 (15)
23 41 51 (22)
23 41 52 (5)
23 41 53 (3)
23 41 42 (2)
23 41 33 (4)
23 41 21 (3)
23 41 11 (19)
23 51 52 (1)
23 51 53 (3)
23 51 33 (2)
23 51 22 (1)
23 51 21 (3)
23 51 11 (15)
23 52 42 (2)
23 52 33 (1)
23 52 21 (1)
23 52 11 (4)
23 53 13 (3)
23 53 33 (3)
23 53 22 (1)
23 53 11 (1)
23 42 33 (1)
23 42 21 (1)
23 42 11 (3)
23 13 33 (2)
23 13 22 (2)
23 33 11 (2)
23 22 11 (2)
23 21 11 (2)
12 32 31 (1)
12 32 41 (1)
12 32 51 (1)
12 32 52 (14)
12 32 42 (12)
12 32 13 (1)
12 32 33 (2)
12 32 22 (6)
12 32 21 (8)
12 32 11 (1)
12 43 31 (1)
12 43 52 (1)
12 43 53 (8)
12 43 13 (1)
12 43 33 (7)
12 43 22 (4)
12 43 21 (6)
12 43 11 (2)
12 31 41 (4)
12 31 51 (3)
12 31 52 (1)
12 31 53 (2)
12 31 42 (3)
12 31 13 (1)
12 31 33 (3)
12 31 22 (1)
12 31 21 (2)
12 41 51 (3)
12 41 52 (1)
12 41 42 (1)
12 41 33 (2)
12 41 22 (2)
12 41 21 (2)
12 51 52 (1)
12 51 22 (1)
12 51 21 (1)
12 52 53 (1)
12 52 42 (16)
12 52 13 (1)
12 52 33 (2)
12 52 22 (5)
12 52 21 (11)
12 52 11 (2)
12 53 42 (2)
12 53 13 (1)
12 53 33 (7)
12 53 22 (4)
12 53 21 (4)
12 53 11 (1)
12 42 13 (2)
12 42 33 (2)
12 42 22 (3)
12 42 21 (10)
12 42 11 (2)
12 13 21 (1)
12 13 11 (1)
12 33 22 (4)
12 33 21 (7)
12 22 11 (2)
12 21 11 (2)
32 43 52 (2)
32 43 42 (3)
32 43 13 (1)
32 43 22 (2)
32 43 21 (2)
32 43 11 (1)
32 31 41 (3)
32 31 51 (3)
32 31 52 (2)
32 31 42 (1)
32 31 13 (1)
32 31 11 (2)
32 41 51 (3)
32 41 33 (1)
32 41 22 (1)
32 41 11 (1)
32 51 52 (2)
32 51 42 (2)
32 51 13 (2)
32 51 21 (4)
32 51 11 (2)
32 52 42 (30)
32 52 13 (10)
32 52 33 (1)
32 52 22 (11)
32 52 21 (20)
32 52 11 (9)
32 53 42 (1)
32 53 21 (1)
32 53 11 (1)
32 42 13 (9)
32 42 33 (1)
32 42 22 (10)
32 42 21 (23)
32 42 11 (12)
32 13 22 (6)
32 13 21 (4)
32 13 11 (1)
32 33 22 (2)
32 33 21 (1)
32 33 11 (1)
32 22 11 (2)
32 21 11 (11)
43 31 53 (1)
43 31 13 (4)
43 31 33 (5)
43 31 22 (3)
43 31 21 (1)
43 41 53 (2)
43 41 13 (1)
43 41 33 (2)
43 41 22 (1)
43 51 13 (1)
43 51 33 (1)
43 51 22 (1)
43 52 53 (2)
43 52 42 (2)
43 52 13 (1)
43 52 22 (2)
43 52 21 (2)
43 53 13 (26)
43 53 33 (31)
43 53 22 (16)
43 53 21 (15)
43 53 11 (1)
43 42 22 (1)
43 42 21 (2)
43 42 11 (1)
43 13 33 (29)
43 13 22 (17)
43 13 21 (13)
43 13 11 (1)
43 33 22 (18)
43 33 21 (16)
43 22 21 (1)
43 22 11 (1)
43 21 11 (2)
31 41 51 (30)
31 41 52 (5)
31 41 53 (1)
31 41 42 (1)
31 41 33 (2)
31 41 22 (10)
31 41 21 (4)
31 41 11 (26)
31 51 52 (1)
31 51 53 (2)
31 51 42 (1)
31 51 13 (1)
31 51 33 (1)
31 51 22 (12)
31 51 21 (4)
31 51 11 (26)
31 52 42 (1)
31 52 13 (2)
31 52 33 (1)
31 52 22 (1)
31 52 11 (5)
31 53 42 (2)
31 53 13 (2)
31 53 33 (2)
31 53 21 (1)
31 53 11 (1)
31 42 13 (1)
31 42 33 (2)
31 42 11 (2)
31 13 33 (4)
31 13 22 (5)
31 13 11 (3)
31 33 22 (3)
31 33 21 (2)
31 33 11 (1)
31 22 11 (12)
31 21 11 (3)
41 51 52 (1)
41 51 53 (6)
41 51 42 (2)
41 51 33 (2)
41 51 22 (13)
41 51 21 (5)
41 51 11 (30)
41 52 42 (1)
41 52 33 (1)
41 52 21 (1)
41 52 11 (3)
41 53 42 (1)
41 53 13 (1)
41 53 33 (3)
41 53 22 (3)
41 53 11 (4)
41 42 33 (1)
41 42 22 (1)
41 42 21 (1)
41 42 11 (4)
41 13 33 (1)
41 33 22 (2)
41 33 21 (1)
41 33 11 (2)
41 22 11 (12)
41 21 11 (4)
51 52 42 (1)
51 52 13 (2)
