30 30 0 0 0.730693040452846 0.721730810095055 1 1 7.5 7.5 ; 23 41 51
23 23 0 0 0.0598533556976396 0.0598533556976396 1 1 1.10047846889952 1.10047846889952 ; 21 33
27 26 0.037037037037037 -0.0384615384615385 0.697503884014663 0.658571299925443 0.962962962962963 1.03846153846154 17.1610169491525 16.5254237288136 ; 11 23 31 41
23 21 0.0869565217391304 -0.0952380952380952 0.532942028372085 0.483217500569376 0.91304347826087 1.0952380952381 10.7655502392345 9.82941543582276 ; 22 33 43 53
21 19 0.0952380952380952 -0.105263157894737 0.45206357718608 0.423033593671425 0.904761904761905 1.10526315789474 8.22096563723358 7.43801652892562 ; 13 22 33 53
46 43 0.0652173913043478 -0.0697674418604651 0.87406293479704 0.784056454097116 0.934782608695652 1.06976744186047 2.72727272727273 2.54940711462451 ; 33 43
27 26 0.037037037037037 -0.0384615384615385 0.599221241579107 0.570656561660944 0.962962962962963 1.03846153846154 5.72033898305085 5.50847457627119 ; 11 23 41
37 36 0.027027027027027 -0.0277777777777778 0.604043492697268 0.57404133246396 0.972972972972973 1.02777777777778 2.19367588932806 2.13438735177866 ; 13 43
24 22 0.0833333333333333 -0.0909090909090909 0.414043151057241 0.374540458173515 0.916666666666667 1.09090909090909 3.74453921364677 3.4324942791762 ; 22 33 43
50 48 0.04 -0.0416666666666667 1 0.94 0.96 1.04166666666667 3 2.88 ; 41 51
32 30 0.0625 -0.0666666666666667 0.44657840569979 0.386634995538744 0.9375 1.06666666666667 1.87134502923977 1.75438596491228 ; 21 32
31 29 0.0645161290322581 -0.0689655172413793 0.592858415180324 0.542591556019229 0.935483870967742 1.06896551724138 5.43859649122807 5.08771929824561 ; 21 32 52
30 30 0 0 0.730693040452846 0.720693040452847 1 1 7.5 7.5 ; 23 31 51
49 47 0.0408163265306122 -0.0425531914893617 0.899973418001914 0.841279499436572 0.959183673469388 1.04255319148936 2.67272727272727 2.56363636363636 ; 33 53
47 44 0.0638297872340425 -0.0681818181818182 0.791320018671387 0.704467821500137 0.936170212765957 1.06818181818182 2.38983050847458 2.23728813559322 ; 11 41
23 21 0.0869565217391304 -0.0952380952380952 0.299726121052415 0.23540721095533 0.91304347826087 1.0952380952381 1.6812865497076 1.53508771929825 ; 12 21
20 19 0.05 -0.0526315789473684 0.339366142791453 0.319801503269673 0.95 1.05263157894737 2.87081339712919 2.72727272727273 ; 21 33 53
47 45 0.0425531914893617 -0.0444444444444444 0.791320018671387 0.733418553890554 0.957446808510638 1.04444444444444 2.38983050847458 2.28813559322034 ; 11 31
37 35 0.0540540540540541 -0.0571428571428571 0.711202939946268 0.671200059635191 0.945945945945946 1.05714285714286 5.98275242544017 5.65936040244341 ; 13 33 43
38 37 0.0263157894736842 -0.027027027027027 0.500174203026464 0.471560118185133 0.973684210526316 1.02702702702703 1.85185185185185 1.80311890838207 ; 21 42
