30 2 0.933333333333333 -14 0.730693040452846 -0.00770443630887536 0.0666666666666667 15 7.5 0.5 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0886787321668604 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 16 0.652173913043478 -1.875 0.87406293479704 -0.0260018722022003 0.347826086956522 2.875 2.72727272727273 0.948616600790514 ; 33 43
17 2 0.882352941176471 -7.5 0.306539619836745 -0.0703427214327971 0.117647058823529 8.5 2.65238194299979 0.312044934470564 ; 21 33 43
15 20 -0.333333333333333 0.25 -0.157949748324146 -0.0148793241174921 1.33333333333333 0.75 0.730994152046784 0.974658869395711 ; 22 42
16 3 0.8125 -4.33333333333333 0.264330478638812 -0.138057295247735 0.1875 5.33333333333333 2.42424242424242 0.454545454545455 ; 13 42 52
18 2 0.888888888888889 -8 0.313909448441731 -0.0466666666666667 0.111111111111111 9 2.84210526315789 0.315789473684211 ; 22 31 51
50 17 0.66 -1.94117647058824 1 0.01 0.34 2.94117647058824 3 1.02 ; 41 51
32 19 0.40625 -0.684210526315789 0.44657840569979 0.0569462396529933 0.59375 1.68421052631579 1.87134502923977 1.11111111111111 ; 21 32
47 13 0.723404255319149 -2.61538461538462 0.791320018671387 -0.193004882602777 0.276595744680851 3.61538461538462 2.38983050847458 0.661016949152542 ; 11 41
23 14 0.391304347826087 -0.642857142857143 0.299726121052415 0.0102910256155336 0.608695652173913 1.64285714285714 1.6812865497076 1.0233918128655 ; 12 21
37 5 0.864864864864865 -6.4 0.711202939946268 -0.0184981357125332 0.135135135135135 7.4 5.98275242544017 0.808480057491915 ; 13 33 43
21 1 0.952380952380952 -20 0.535550484560389 -0.0704882231845085 0.0476190476190476 21 5.83333333333333 0.277777777777778 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.0345269908328525 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 5 0.84375 -5.4 0.606541389890074 -0.0659964125549758 0.15625 6.4 5.19818063677713 0.812215724496426 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0767631023213769 0 Inf 16.2037037037037 0 ; 12 32 42 52
