30 0 1 Inf 0.730693040452846 -0.158082132730962 0 Inf 7.5 0 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.0626228142234554 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 15 0.673913043478261 -2.06666666666667 0.87406293479704 -0.0560040324355083 0.326086956521739 3.06666666666667 2.72727272727273 0.889328063241107 ; 33 43
17 3 0.823529411764706 -4.66666666666667 0.306539619836745 -0.0915569296272066 0.176470588235294 5.66666666666667 2.65238194299979 0.468067401705846 ; 21 33 43
15 15 0 0 -0.157949748324146 -0.157949748324146 1 1 0.730994152046784 0.730994152046784 ; 22 42
16 3 0.8125 -4.33333333333333 0.264330478638812 -0.0887181320732698 0.1875 5.33333333333333 2.42424242424242 0.454545454545455 ; 13 42 52
18 4 0.777777777777778 -3.5 0.313909448441731 -0.0852263788956721 0.222222222222222 4.5 2.84210526315789 0.631578947368421 ; 22 31 51
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 41 51
32 16 0.5 -1 0.44657840569979 -0.0329688755885751 0.5 2 1.87134502923977 0.935672514619883 ; 21 32
47 13 0.723404255319149 -2.61538461538462 0.791320018671387 -0.193004882602777 0.276595744680851 3.61538461538462 2.38983050847458 0.661016949152542 ; 11 41
23 11 0.521739130434783 -1.09090909090909 0.299726121052415 -0.0861873395300936 0.478260869565217 2.09090909090909 1.6812865497076 0.804093567251462 ; 12 21
37 5 0.864864864864865 -6.4 0.711202939946268 -0.0380682337807332 0.135135135135135 7.4 5.98275242544017 0.808480057491915 ; 13 33 43
21 4 0.80952380952381 -4.25 0.535550484560389 -0.0258213739785063 0.19047619047619 5.25 5.83333333333333 1.11111111111111 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.0738274955823959 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 5 0.84375 -5.4 0.606541389890074 -0.0190992395688751 0.15625 6.4 5.19818063677713 0.812215724496426 ; 21 32 42
21 2 0.904761904761905 -9.5 0.625315639127346 -0.0395574101501369 0.0952380952380952 10.5 16.2037037037037 1.54320987654321 ; 12 32 42 52
27 11 0.592592592592593 -1.45454545454545 0.410304145386664 -0.100978278771173 0.407407407407407 2.45454545454545 1.90677966101695 0.77683615819209 ; 11 23
11 0 1 Inf 0.332967166617389 -0.103424049083574 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 4 0.666666666666667 -2 0.208520141506618 -0.0430001902919535 0.333333333333333 3 2.10526315789474 0.701754385964912 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.0597538159907404 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 7 0.611111111111111 -1.57142857142857 0.222008262583023 -0.0103698459411125 0.388888888888889 2.57142857142857 2.4085637823372 0.936663693131133 ; 11 22 31
15 21 -0.4 0.285714285714286 -0.116543309349613 0.0582716546748065 1.4 0.714285714285714 0.789473684210526 1.10526315789474 ; 22 52
11 2 0.818181818181818 -4.5 0.187049359228803 -0.050266996767506 0.181818181818182 5.5 4.54290150989527 0.82598209270823 ; 11 21 32 42
39 4 0.897435897435897 -8.75 0.720659878507205 -0.105513756906983 0.102564102564103 9.75 5.80165289256199 0.59504132231405 ; 13 33 53
10 1 0.9 -9 0.264958600999098 -0.10826527022955 0.1 10 2.27272727272727 0.227272727272727 ; 12 33 53
23 6 0.739130434782609 -2.83333333333333 0.353408361084115 -0.0568356763841918 0.260869565217391 3.83333333333333 3.00130491518051 0.78294910830796 ; 13 22 33
17 3 0.823529411764706 -4.66666666666667 0.317948128687405 -0.0570116147901793 0.176470588235294 5.66666666666667 2.91762013729977 0.51487414187643 ; 21 43 53
22 4 0.818181818181818 -4.5 0.545539072777276 -0.0531430893784449 0.181818181818182 5.5 5.09259259259259 0.925925925925926 ; 12 42 52
12 16 -0.333333333333333 0.25 -0.152855695910666 -0.0329688755885751 1.33333333333333 0.75 0.701754385964912 0.935672514619883 ; 22 32
21 20 0.0476190476190476 -0.05 0.0028501597951257 -0.0256514381561313 0.952380952380952 1.05 1.00478468899522 0.956937799043062 ; 13 21
49 17 0.653061224489796 -1.88235294117647 0.913346259032624 -0.0294627825494395 0.346938775510204 2.88235294117647 2.72222222222222 0.944444444444445 ; 42 52
20 2 0.9 -9 0.343037735658155 -0.0318404034037708 0.1 10 3.12044934470564 0.312044934470564 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.104276298124522 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 4 0.851851851851852 -5.75 0.599221241579107 -0.0400929223438169 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0817879803696976 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 4 0.80952380952381 -4.25 0.327681968422467 -0.0702236619439923 0.19047619047619 5.25 3.01435406698565 0.574162679425837 ; 13 22 53
15 4 0.733333333333333 -2.75 0.239401969279088 -0.0378346110833539 0.266666666666667 3.75 1.9573727707699 0.521966072205307 ; 13 21 33
43 18 0.581395348837209 -1.38888888888889 0.655502392344498 -0.062200956937799 0.418604651162791 2.38888888888889 2.13223140495868 0.892561983471074 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0616148155519182 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 7 0.363636363636364 -0.571428571428571 -0.00913346719548128 -0.0107340022162476 0.636363636363636 1.57142857142857 1.36287045296858 0.867281197343642 ; 11 21 42
11 1 0.909090909090909 -10 0.158099890904008 -0.182004124879928 0.0909090909090909 11 1.86440677966102 0.169491525423729 ; 11 32 52
34 12 0.647058823529412 -1.83333333333333 0.437037410061049 -0.203950791361823 0.352941176470588 2.83333333333333 1.78947368421053 0.631578947368421 ; 21 52
10 8 0.2 -0.25 -0.0662266178532522 -0.132453235706504 0.8 1.25 0.833333333333333 0.666666666666667 ; 12 53
10 0 1 Inf 0.17867948668727 -0.0812618659255331 0 Inf 3.71691941718704 0 ; 11 21 42 52
44 3 0.931818181818182 -13.6666666666667 0.893725749918909 -0.0834812737315838 0.0681818181818182 14.6666666666667 8.14814814814815 0.555555555555556 ; 32 42 52
11 3 0.727272727272727 -2.66666666666667 0.133241806221576 -0.0766032820572105 0.272727272727273 3.66666666666667 1.55367231638418 0.423728813559322 ; 11 42 52
18 2 0.888888888888889 -8 0.404701496513842 -0.0461897383967025 0.111111111111111 9 7.2256913470116 0.8028545941124 ; 11 22 31 51
47 20 0.574468085106383 -1.35 0.791320018671387 0.00965024413013886 0.425531914893617 2.35 2.38983050847458 1.01694915254237 ; 11 51
12 4 0.666666666666667 -2 0.197532073835983 -0.0715554894716679 0.333333333333333 3 1.87226960682338 0.624089868941128 ; 13 21 43
24 15 0.375 -0.6 0.145679136687016 -0.116543309349613 0.625 1.6 1.26315789473684 0.789473684210526 ; 22 53
16 14 0.125 -0.142857142857143 -0.0684762383262326 -0.127170156891575 0.875 1.14285714285714 0.872727272727273 0.763636363636364 ; 13 52
16 2 0.875 -7 0.478925825411959 -0.0678697589103469 0.125 8 9.74658869395712 1.21832358674464 ; 12 21 42 52
