30 1 0.966666666666667 -29 0.730693040452846 -0.0918555148777102 0.0333333333333333 30 7.5 0.25 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.105566994198838 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 12 0.739130434782609 -2.83333333333333 0.87406293479704 -0.146010513135432 0.260869565217391 3.83333333333333 2.72727272727273 0.711462450592885 ; 33 43
17 1 0.941176470588235 -16 0.306539619836745 -0.207920361447396 0.0588235294117647 17 2.65238194299979 0.156022467235282 ; 21 33 43
15 18 -0.2 0.166666666666667 -0.157949748324146 -0.0721074938001538 1.2 0.833333333333333 0.730994152046784 0.87719298245614 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.108223420432402 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 3 0.833333333333333 -5 0.313909448441731 -0.0849383213414732 0.166666666666667 6 2.84210526315789 0.473684210526316 ; 22 31 51
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 41 51
32 15 0.53125 -1.13333333333333 0.44657840569979 -0.0629405806690979 0.46875 2.13333333333333 1.87134502923977 0.87719298245614 ; 21 32
47 18 0.617021276595745 -1.61111111111111 0.791320018671387 -0.0482512206506943 0.382978723404255 2.61111111111111 2.38983050847458 0.915254237288136 ; 11 41
23 14 0.391304347826087 -0.642857142857143 0.299726121052415 0.0102910256155336 0.608695652173913 1.64285714285714 1.6812865497076 1.0233918128655 ; 12 21
37 3 0.918918918918919 -11.3333333333333 0.711202939946268 -0.059363700198288 0.0810810810810811 12.3333333333333 5.98275242544017 0.485088034495149 ; 13 33 43
21 0 1 Inf 0.535550484560389 -0.107754146468197 0 Inf 5.83333333333333 0 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.0935373210173873 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 3 0.90625 -9.66666666666667 0.606541389890074 -0.0487305163130111 0.09375 10.6666666666667 5.19818063677713 0.487329434697856 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.105726584501448 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 11 0.592592592592593 -1.45454545454545 0.410304145386664 -0.100978278771173 0.407407407407407 2.45454545454545 1.90677966101695 0.77683615819209 ; 11 23
11 1 0.909090909090909 -10 0.332967166617389 -0.0878605683552284 0.0909090909090909 11 5.1789077212806 0.470809792843691 ; 11 32 42 52
12 2 0.833333333333333 -5 0.208520141506618 -0.110391144137964 0.166666666666667 6 2.10526315789474 0.350877192982456 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.118332451318168 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0875406096727172 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 31
15 14 0.0666666666666667 -0.0714285714285714 -0.116543309349613 -0.145679136687016 0.933333333333333 1.07142857142857 0.789473684210526 0.736842105263158 ; 22 52
11 2 0.818181818181818 -4.5 0.187049359228803 -0.0786242896027782 0.181818181818182 5.5 4.54290150989527 0.82598209270823 ; 11 21 32 42
39 6 0.846153846153846 -5.5 0.720659878507205 -0.0376763438921295 0.153846153846154 6.5 5.80165289256199 0.892561983471075 ; 13 33 53
10 3 0.7 -2.33333333333333 0.264958600999098 -0.0917461690512382 0.3 3.33333333333333 2.27272727272727 0.681818181818182 ; 12 33 53
23 4 0.826086956521739 -4.75 0.353408361084115 -0.0756302056649949 0.173913043478261 5.75 3.00130491518051 0.521966072205307 ; 13 22 33
17 2 0.882352941176471 -7.5 0.317948128687405 -0.106516302967099 0.117647058823529 8.5 2.91762013729977 0.34324942791762 ; 21 43 53
22 2 0.909090909090909 -10 0.545539072777276 -0.082408215845649 0.0909090909090909 11 5.09259259259259 0.462962962962963 ; 12 42 52
12 14 -0.166666666666667 0.142857142857143 -0.152855695910666 -0.0929122857496206 1.16666666666667 0.857142857142857 0.701754385964912 0.818713450292398 ; 22 32
21 19 0.0952380952380952 -0.105263157894737 0.0028501597951257 -0.0541530361073882 0.904761904761905 1.10526315789474 1.00478468899522 0.909090909090909 ; 13 21
49 14 0.714285714285714 -2.5 0.913346259032624 -0.117851130197758 0.285714285714286 3.5 2.72222222222222 0.777777777777778 ; 42 52
20 5 0.75 -3 0.343037735658155 -0.0600576596100625 0.25 4 3.12044934470564 0.78011233617641 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.0894768456962498 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 0 1 Inf 0.599221241579107 -0.135270272587486 0 Inf 5.72033898305085 0 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.108263346564906 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 1 0.952380952380952 -20 0.327681968422467 -0.0694484000775532 0.0476190476190476 21 3.01435406698565 0.143540669856459 ; 13 22 53
15 5 0.666666666666667 -2 0.239401969279088 -0.0851307383154139 0.333333333333333 3 1.9573727707699 0.652457590256633 ; 13 21 33
43 21 0.511627906976744 -1.04761904761905 0.655502392344498 0.0239234449760766 0.488372093023256 2.04761904761905 2.13223140495868 1.04132231404959 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0500786407811769 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 8 0.272727272727273 -0.375 -0.00913346719548128 -0.0771366393677484 0.727272727272727 1.375 1.36287045296858 0.991178511249876 ; 11 21 42
11 2 0.818181818181818 -4.5 0.158099890904008 -0.0544470918992227 0.181818181818182 5.5 1.86440677966102 0.338983050847458 ; 11 32 52
34 16 0.529411764705882 -1.125 0.437037410061049 -0.0874074820122098 0.470588235294118 2.125 1.78947368421053 0.842105263157895 ; 21 52
10 8 0.2 -0.25 -0.0662266178532522 -0.132453235706504 0.8 1.25 0.833333333333333 0.666666666666667 ; 12 53
10 1 0.9 -9 0.17867948668727 -0.0711697143638457 0.1 10 3.71691941718704 0.371691941718704 ; 11 21 42 52
44 2 0.954545454545455 -21 0.893725749918909 -0.102472956389596 0.0454545454545455 22 8.14814814814815 0.37037037037037 ; 32 42 52
11 4 0.636363636363636 -1.75 0.133241806221576 -0.0857287204365963 0.363636363636364 2.75 1.55367231638418 0.56497175141243 ; 11 42 52
18 0 1 Inf 0.404701496513842 -0.0989830610492892 0 Inf 7.2256913470116 0 ; 11 22 31 51
47 13 0.723404255319149 -2.61538461538462 0.791320018671387 -0.193004882602777 0.276595744680851 3.61538461538462 2.38983050847458 0.661016949152542 ; 11 51
12 4 0.666666666666667 -2 0.197532073835983 -0.120915005311574 0.333333333333333 3 1.87226960682338 0.624089868941128 ; 13 21 43
24 20 0.166666666666667 -0.2 0.145679136687016 0.0291358273374033 0.833333333333333 1.2 1.26315789473684 1.05263157894737 ; 22 53
16 16 0 0 -0.0684762383262326 -0.0684762383262326 1 1 0.872727272727273 0.872727272727273 ; 13 52
16 0 1 Inf 0.478925825411959 -0.0517677238682974 0 Inf 9.74658869395712 0 ; 12 21 42 52
21 16 0.238095238095238 -0.3125 0.0582716546748065 -0.0874074820122098 0.761904761904762 1.3125 1.10526315789474 0.842105263157895 ; 21 53
20 0 1 Inf 0.44852772186809 -0.0380689714331583 0 Inf 9.36134803411692 0 ; 13 22 43 53
45 4 0.911111111111111 -10.25 0.894635505056936 -0.0548977572254185 0.0888888888888889 11.25 8.00395256916996 0.711462450592886 ; 33 43 53
18 4 0.777777777777778 -3.5 0.313909448441731 -0.0852263788956721 0.222222222222222 4.5 2.84210526315789 0.631578947368421 ; 22 41 51
18 17 0.0555555555555556 -0.0588235294117647 -0.0291358273374033 -0.0582716546748065 0.944444444444444 1.05882352941176 0.947368421052632 0.894736842105263 ; 22 51
50 4 0.92 -11.5 1 -0.09 0.08 12.5 9 0.72 ; 31 41 51
14 4 0.714285714285714 -2.5 0.212951067119622 -0.111879253561643 0.285714285714286 3.5 2.04678362573099 0.584795321637427 ; 22 42 52
50 14 0.72 -2.57142857142857 1 -0.08 0.28 3.57142857142857 3 0.84 ; 31 51
34 3 0.911764705882353 -10.3333333333333 0.616852624040045 -0.0638412838287096 0.0882352941176471 11.3333333333333 4.97076023391813 0.43859649122807 ; 21 42 52
24 6 0.75 -3 0.406504100730533 -0.0403832279053535 0.25 4 3.44497607655502 0.861244019138756 ; 22 33 53
44 12 0.727272727272727 -2.66666666666667 0.894959429780133 -0.0925820099772551 0.272727272727273 3.66666666666667 2.93333333333333 0.8 ; 32 52
47 0 1 Inf 0.895660009335693 -0.102901464780833 0 Inf 21.5084745762712 0 ; 11 31 41 51
